X,Y,OBJECTID,EoICode,StationNam,Longitude,Latitude,Altitude,StationTyp,StationAre,avg15
10.7695340003517,50.6540660013915,47,DEUB029,Schmücke,10.769534,50.654066,937,background,rural,7.286816
13.03166199973,53.1413030008115,48,DEUB030,Neuglobsow,13.031662,53.141303,65,background,rural-regional,9.969703
12.0888982720833,55.6942059503232,49,DK0012R,Risoe,12.088898,55.694206,3,background,rural-regional,9.520642
25.9305686994251,59.4944458005808,50,EE0009R,Lahemaa,25.930569,59.494446,32,background,rural,5.188643
21.8450126610437,58.3761100804556,51,EE0011R,Vilsandi,21.845013,58.37611,6,background,rural,3.966952
26.7588977794712,58.7027778600728,52,EE0016A,Saarejärve,26.758898,58.702778,50,background,rural,5.433148
-4.35055999941083,39.5469400002164,53,ES0001R,SAN PABLO DE LOS MONTES,-4.35056,39.54694,917,background,rural,6.61236
4.31639000031281,39.8752800000927,54,ES0006R,MAHÓN,4.31639,39.87528,78,background,rural,7.035144
-3.53417000020783,37.2372200001844,55,ES0007R,VÍZNAR,-3.53417,37.23722,1230,background,rural,10.344214
-4.8499999995744,43.4391700006204,56,ES0008R,NIEMBRO,-4.85,43.43917,134,background,rural,7.051429
-3.14249999983954,41.2741700006063,57,ES0009R,CAMPISÁBALOS,-3.1425,41.27417,1360,background,rural,4.81686
3.31583000038572,42.3191699999649,58,ES0010R,CABO DE CREUS,3.31583,42.31917,23,background,rural,8.486239
-6.92361000043823,38.4727800004571,59,ES0011R,BARCARROTA,-6.92361,38.47278,393,background,rural,8.456647
-1.10110999993371,39.0827800001713,60,ES0012R,ZARRA,-1.10111,39.08278,885,background,rural,5.960674
-5.89750000041924,41.2388900000398,61,ES0013R,PEŃAUSENDE,-5.8975,41.23889,985,background,rural,5.795732
0.734720000218892,41.3938900003816,62,ES0014R,ELS TORMS,0.73472,41.39389,470,background,rural,8.335227
-7.70471999995733,42.6347200006498,63,ES0016R,O SAVIŃAO,-7.70472,42.63472,506,background,rural,8.379538
-3.23138888020979,42.8752777699523,64,ES1489A,VALDEREJO,-3.231389,42.875278,911,background,rural,6.162902
-0.169444440192683,40.7350000003248,65,ES1543A,ZORITA,-0.169444,40.735,619,background,rural,7.114348
-1.28138887973262,39.5586111106309,66,ES1670A,CAUDETE DE LAS FUENTES,-1.281389,39.558611,804,background,rural,11.081898
-0.831944440636934,39.708055550153,67,ES1671A,VILLAR DEL ARZOBISPO,-0.831944,39.708056,430,background,rural,10.759357
